geoRegion,datum,entries,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
FL,202118,0,57,NA,NA,38747,0,147.11,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-18,-1,-2.58,-100,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
FR,202118,1,424,1,100,321783,0.31,131.77,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-18,1,0.31,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
GE,202118,3,751,1,100,504128,0.6,148.97,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-18,-2,-0.39,-40,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
GL,202118,1,65,1,100,40590,2.46,160.14,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-18,1,2.46,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
GR,202118,1,180,1,100,199021,0.5,90.44,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-18,-1,-0.5,-50,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
JU,202118,0,59,NA,NA,73584,0,80.18,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-18,0,0,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
LU,202118,5,324,1,100,413120,1.21,78.43,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-18,-1,-0.24,-16.7,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
NE,202118,0,331,NA,NA,176496,0,187.54,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-18,-1,-0.57,-100,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
NW,202118,1,23,1,100,43087,2.32,53.38,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-18,1,2.32,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
OW,202118,0,36,NA,NA,37930,0,94.91,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-18,0,0,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
SG,202118,1,712,1,100,510734,0.2,139.41,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-18,-3,-0.58,-75,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
